K,Bytes,AvgTimeMs
# Client started: Tue Jan 27 16:03:26 MSK 2026
# Parameters: N=8, M=5000, Q=25
1586,12696,12
1587,12704,12
1588,12712,12
1589,12720,22
1590,12728,13
1591,12736,12
1592,12744,12
1593,12752,12
1594,12760,13
1595,12768,13
1596,12776,13
1597,12784,10
1598,12792,13
1599,12800,10
1600,12808,12
1601,12816,10
1602,12824,10
1603,12832,11
1604,12840,11
1605,12848,11
1606,12856,11
1607,12864,11
1608,12872,12
1609,12880,11
1610,12888,10
1611,12896,11
1612,12904,12
1613,12912,12
1614,12920,9
1615,12928,12
1616,12936,11
1617,12944,12
1618,12952,11
1619,12960,13
1620,12968,10
1621,12976,12
1622,12984,12
1623,12992,19
1624,13000,10
1625,13008,8
1626,13016,11
1627,13024,10
1628,13032,10
1629,13040,13
1630,13048,12
1631,13056,12
1632,13064,12
1633,13072,11
1634,13080,11
1635,13088,11
1636,13096,11
1637,13104,11
1638,13112,11
1639,13120,13
1640,13128,14
1641,13136,10
1642,13144,13
1643,13152,9
1644,13160,10
1645,13168,10
1646,13176,12
1647,13184,11
1648,13192,9
1649,13200,9
1650,13208,12
1651,13216,11
1652,13224,13
1653,13232,10
1654,13240,13
1655,13248,11
1656,13256,11
1657,13264,9
1658,13272,11
1659,13280,12
1660,13288,11
1661,13296,24
1662,13304,13
1663,13312,10
1664,13320,10
1665,13328,21
1666,13336,10
1667,13344,11
1668,13352,9
1669,13360,10
1670,13368,10
1671,13376,11
1672,13384,15
1673,13392,16
1674,13400,15
1675,13408,13
1676,13416,14
1677,13424,16
1678,13432,13
1679,13440,14
1680,13448,11
1681,13456,13
1682,13464,14
1683,13472,14
1684,13480,10
1685,13488,11
1686,13496,15
1687,13504,13
1688,13512,25
1689,13520,19
1690,13528,14
1691,13536,11
1692,13544,13
1693,13552,13
1694,13560,14
1695,13568,13
1696,13576,11
1697,13584,12
1698,13592,11
1699,13600,11
1700,13608,16
1701,13616,11
1702,13624,13
1703,13632,13
1704,13640,13
1705,13648,12
1706,13656,20
1707,13664,12
1708,13672,11
1709,13680,11
1710,13688,25
1711,13696,14
1712,13704,15
1713,13712,13
1714,13720,11
1715,13728,12
1716,13736,10
1717,13744,11
1718,13752,14
1719,13760,14
1720,13768,13
1721,13776,12
1722,13784,10
1723,13792,11
1724,13800,9
1725,13808,9
1726,13816,10
1727,13824,11
1728,13832,11
1729,13840,15
1730,13848,11
1731,13856,10
1732,13864,10
1733,13872,11
1734,13880,12
1735,13888,14
1736,13896,11
1737,13904,12
1738,13912,12
1739,13920,13
1740,13928,12
1741,13936,12
1742,13944,11
1743,13952,16
1744,13960,18
1745,13968,13
1746,13976,11
1747,13984,11
1748,13992,11
1749,14000,13
1750,14008,10
1751,14016,14
1752,14024,13
1753,14032,11
1754,14040,11
1755,14048,10
1756,14056,14
1757,14064,10
1758,14072,10
1759,14080,10
1760,14088,10
1761,14096,11
1762,14104,11
1763,14112,10
1764,14120,11
1765,14128,11
1766,14136,11
1767,14144,11
1768,14152,12
1769,14160,11
1770,14168,11
1771,14176,10
1772,14184,11
1773,14192,10
1774,14200,11
1775,14208,11
1776,14216,11
1777,14224,11
1778,14232,10
1779,14240,10
1780,14248,12
1781,14256,15
1782,14264,12
1783,14272,11
1784,14280,10
1785,14288,15
1786,14296,10
1787,14304,11
1788,14312,11
1789,14320,12
1790,14328,12
1791,14336,11
1792,14344,11
1793,14352,11
1794,14360,12
1795,14368,11
1796,14376,10
1797,14384,11
1798,14392,13
1799,14400,11
1800,14408,11
1801,14416,14
1802,14424,13
1803,14432,10
1804,14440,10
1805,14448,11
1806,14456,13
1807,14464,10
1808,14472,14
1809,14480,28
1810,14488,20
1811,14496,16
1812,14504,17
1813,14512,21
1814,14520,22
1815,14528,20
1816,14536,17
1817,14544,22
1818,14552,16
1819,14560,16
1820,14568,19
1821,14576,19
1822,14584,21
1823,14592,20
1824,14600,19
1825,14608,18
1826,14616,17
1827,14624,17
1828,14632,17
1829,14640,17
1830,14648,19
1831,14656,21
1832,14664,15
1833,14672,18
1834,14680,18
1835,14688,20
1836,14696,18
1837,14704,18
1838,14712,20
1839,14720,22
1840,14728,21
1841,14736,20
1842,14744,16
1843,14752,19
1844,14760,18
1845,14768,21
1846,14776,19
1847,14784,17
1848,14792,19
1849,14800,15
1850,14808,18
